class,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,x21,y21,z21,v21,x22,y22,z22,v22,x23,y23,z23,v23,x24,y24,z24,v24,x25,y25,z25,v25,x26,y26,z26,v26,x27,y27,z27,v27,x28,y28,z28,v28,x29,y29,z29,v29,x30,y30,z30,v30,x31,y31,z31,v31,x32,y32,z32,v32,x33,y33,z33,v33
kicking,0.477089643,0.121463396,-1.6891855,0.999147117,0.521578968,0.043537263,-1.675154448,0.997954369,0.546425223,0.038900778,-1.675444245,0.997865915,0.567408741,0.033983883,-1.676328897,0.998010516,0.447839558,0.037412845,-1.68524766,0.998206496,0.424107373,0.027481692,-1.685458422,0.998193383,0.403885543,0.014955274,-1.685633659,0.998309791,0.601361394,0.008790662,-1.338551402,0.998026431,0.370986551,-0.032541223,-1.369095564,0.998462617,0.511347651,0.176562473,-1.537347317,0.999577582,0.432168156,0.168128982,-1.549216151,0.999527812,0.720008492,0.246770307,-1.03467977,0.999508023,0.214860648,0.187025234,-1.000365615,0.999586463,0.880797505,0.647761941,-1.000688672,0.949753881,0.132216424,0.637470484,-0.91404736,0.919984221,1.01289916,1.254820585,-1.274482846,0.883815944,0.031518895,1.023625135,-1.108919859,0.906881034,1.080777049,1.34094429,-1.369792938,0.830860853,-0.021875069,1.129150152,-1.192897439,0.869743168,1.055512547,1.363798022,-1.454504609,0.86293149,-0.017653139,1.152119517,-1.280899763,0.894969761,0.995900989,1.335270643,-1.32596302,0.869536042,0.02905402,1.135033369,-1.160046577,0.894366086,0.606233895,0.811407685,-0.067037404,0.977240384,0.365549684,0.818820119,0.066173017,0.963591695,0.598255634,1.11982286,0.756779253,0.306090683,0.343829691,1.137749553,0.879698277,0.305151939,0.609379172,1.33473146,1.714620948,0.16658093,0.438048363,1.28918457,1.696400881,0.16451402,0.629572153,1.362020969,1.810816526,0.178312451,0.501316309,1.296161532,1.77929759,0.15245533,0.574957311,1.554650187,1.613209009,0.166123822,0.448067993,1.486767292,1.558310747,0.153134689
normal,0.4795174,0.143101484,-0.419197828,0.9998824,0.488209426,0.127180561,-0.392577171,0.999612808,0.493844718,0.127950549,-0.392593056,0.999588728,0.499398202,0.129022762,-0.392524421,0.999563158,0.472388685,0.127075136,-0.387701452,0.999696016,0.467724681,0.127580881,-0.387667954,0.999692082,0.46204406,0.128047004,-0.387679875,0.999698222,0.507737994,0.143695474,-0.249674559,0.99922961,0.452393442,0.139400542,-0.234325901,0.999476314,0.487343431,0.165132821,-0.368193477,0.999860823,0.470093995,0.164962649,-0.363166213,0.999872983,0.548233867,0.271876156,-0.182355598,0.999688268,0.400540918,0.267246008,-0.153355569,0.999863923,0.572063684,0.405739725,-0.117697358,0.974842012,0.363610893,0.394241542,-0.108719483,0.957743466,0.551946938,0.530832529,-0.234760255,0.90936029,0.37221542,0.509200394,-0.238977015,0.888670743,0.549325049,0.579126477,-0.275263906,0.852211654,0.37209025,0.557199419,-0.283464015,0.829945266,0.537001014,0.577688515,-0.318845302,0.85556525,0.379560262,0.552712798,-0.328912646,0.836217165,0.534283578,0.565046668,-0.253400445,0.840050578,0.383545876,0.536379576,-0.260938674,0.825558007,0.5028736,0.554803908,-0.005016051,0.999014258,0.420145899,0.546641648,0.004919186,0.999453604,0.506180942,0.732031226,0.078940317,0.986037433,0.402106196,0.721862733,0.050138798,0.989847004,0.501458466,0.908926845,0.380550086,0.983931661,0.406924337,0.890417337,0.336698085,0.984724343,0.4870103,0.934624493,0.39957872,0.880169332,0.416650444,0.914149821,0.354987085,0.885809362,0.518143773,0.974924386,0.228528798,0.972726226,0.385011762,0.966601729,0.186967328,0.976151466
normal,0.43779546,0.152572334,-0.472904742,0.999914825,0.445390791,0.135871246,-0.450807422,0.999696851,0.451459855,0.136426538,-0.45082131,0.999691904,0.457063943,0.137324348,-0.45082581,0.99966979,0.430006325,0.136769071,-0.451253384,0.999741197,0.42492488,0.137638032,-0.451331139,0.999741733,0.419991583,0.138614416,-0.451385885,0.999736249,0.464804083,0.150506109,-0.303883404,0.999405444,0.412645459,0.149706542,-0.306799382,0.99953419,0.449789912,0.173870802,-0.417396903,0.999891102,0.428233206,0.173871174,-0.417948753,0.999887645,0.508139729,0.27062127,-0.211366966,0.999811471,0.366370976,0.273587108,-0.193788484,0.999900997,0.532988131,0.409802169,-0.131449252,0.978538454,0.336924493,0.410546422,-0.126022533,0.955851197,0.546484232,0.536661625,-0.227499083,0.925449908,0.320245177,0.53449136,-0.228973567,0.909912944,0.549281538,0.580351353,-0.261171132,0.872762501,0.31316328,0.573552907,-0.262266845,0.859746575,0.543809652,0.579405725,-0.304381192,0.877224565,0.318055898,0.574018002,-0.313940644,0.866363585,0.540300131,0.566732943,-0.245953083,0.864724159,0.323249757,0.564199328,-0.252943605,0.858293712,0.472108185,0.54122889,-0.012631611,0.999385297,0.393297791,0.53799969,0.012433026,0.999621868,0.471480519,0.730308294,0.005741715,0.98756808,0.390246242,0.716031075,-0.008888242,0.990285158,0.47080192,0.90433383,0.264889449,0.987635911,0.399042875,0.88156569,0.27480036,0.987248659,0.460368007,0.927524626,0.279827625,0.895411432,0.408304781,0.904273391,0.293378979,0.90091455,0.489076942,0.968645215,0.11683882,0.978807092,0.381838828,0.956734538,0.133490562,0.980749369
normal,0.438371271,0.152357981,-0.449735999,0.999908566,0.44556123,0.135915428,-0.429229826,0.999661863,0.451838017,0.13664721,-0.429239273,0.999654233,0.457597941,0.137667254,-0.429225266,0.999623716,0.430542648,0.136519909,-0.429201275,0.999721706,0.425506741,0.137364537,-0.42927441,0.999725163,0.420577884,0.138326406,-0.429338276,0.999720812,0.465467125,0.150915861,-0.291514009,0.9993276,0.413062185,0.149554744,-0.290243059,0.999511003,0.45030579,0.173741221,-0.397202492,0.999879062,0.428822786,0.17369929,-0.396524906,0.999877393,0.50874418,0.270758003,-0.200573504,0.999795258,0.366830438,0.273514271,-0.180981874,0.999904692,0.534046888,0.409263402,-0.116633289,0.97700423,0.337045997,0.410299093,-0.098668292,0.956636965,0.548583746,0.532336652,-0.210653529,0.917467117,0.322193772,0.53387177,-0.192504555,0.913775325,0.550513804,0.575235844,-0.239603177,0.862387776,0.315426171,0.573213518,-0.221864715,0.864973962,0.545989037,0.574565649,-0.283572525,0.867175817,0.320798844,0.57366699,-0.277292222,0.871475101,0.542976141,0.561446905,-0.229972169,0.85555315,0.326059997,0.563221157,-0.217665732,0.863622785,0.472239166,0.544951916,-0.014366254,0.999388695,0.393778861,0.539811194,0.014159649,0.999630034,0.47271052,0.730790138,0.019841125,0.988179207,0.383498222,0.716457546,0.058414094,0.990713477,0.47095114,0.904434204,0.264672756,0.988279164,0.386442631,0.884252012,0.315899402,0.987945497,0.459570199,0.927561045,0.278022081,0.89822644,0.400867879,0.911776543,0.33063373,0.905740857,0.488942981,0.968737483,0.116441958,0.979748011,0.35686788,0.9607566,0.176464364,0.981763422
normal,0.438882381,0.152549326,-0.501546741,0.999906898,0.446123123,0.136500925,-0.478913903,0.999657452,0.452393919,0.137391001,-0.478923351,0.999651313,0.458133996,0.138535768,-0.478953987,0.999622941,0.431068629,0.136688247,-0.481210679,0.999718189,0.425993174,0.137448058,-0.481268704,0.999721706,0.42102024,0.138293967,-0.481303871,0.999716163,0.466013223,0.152000293,-0.327313811,0.999325216,0.413583547,0.149757162,-0.336671442,0.999498606,0.450773329,0.174094841,-0.443698734,0.999873698,0.429264367,0.1739209,-0.446523964,0.999870062,0.509273112,0.271205485,-0.223753676,0.999787748,0.366961032,0.274603218,-0.209946901,0.999897778,0.533487022,0.409247667,-0.121910781,0.974622369,0.337800711,0.414079338,-0.121715434,0.951630354,0.547637701,0.531875849,-0.214620665,0.903946817,0.340524822,0.533344328,-0.194052964,0.897164702,0.549705327,0.575423837,-0.242780045,0.844343185,0.335543483,0.577854216,-0.230054721,0.843303204,0.543897927,0.57460928,-0.287757576,0.849742174,0.343526661,0.576947927,-0.284062982,0.850243092,0.540780962,0.561577916,-0.233761147,0.837893724,0.349078804,0.562538385,-0.220981166,0.84212923,0.472705632,0.545122802,-0.013366235,0.99938643,0.394264609,0.54047066,0.013182827,0.999625742,0.474518687,0.735460222,0.030105513,0.988617897,0.382095844,0.722167373,0.056456901,0.991020083,0.471616447,0.905163586,0.269771755,0.98880291,0.378106952,0.891880572,0.309384435,0.988517463,0.459730119,0.92842257,0.281392545,0.899098158,0.39338696,0.919949591,0.323128253,0.907741189,0.489703834,0.969509959,0.113096759,0.980508208,0.345300823,0.965334654,0.167060629,0.982539892
normal,0.438658893,0.153496146,-0.431931794,0.999913275,0.445698053,0.136518657,-0.406185806,0.999683261,0.451636821,0.137335092,-0.40619871,0.999677002,0.456939071,0.138425767,-0.406182498,0.999650538,0.429939896,0.136960238,-0.408254594,0.999738812,0.424713671,0.137821287,-0.408283055,0.999741435,0.419535756,0.138705075,-0.408257186,0.999735713,0.463616222,0.151893288,-0.24646455,0.999377847,0.412052661,0.149906799,-0.258483618,0.999532282,0.4505063,0.174999446,-0.372498035,0.999880016,0.42892912,0.17537266,-0.376128048,0.999876678,0.507827103,0.271252006,-0.150027797,0.999784648,0.365102232,0.274232507,-0.149324179,0.999879539,0.527236164,0.409611166,-0.085775211,0.974950552,0.336803138,0.407242507,-0.21588698,0.948973715,0.543590367,0.531999946,-0.193248615,0.908827603,0.349133044,0.430579334,-0.51054889,0.900001466,0.548564792,0.576074958,-0.226451367,0.851499736,0.359170318,0.442679584,-0.570787787,0.848840535,0.543474376,0.575032115,-0.271796793,0.856683612,0.36390847,0.424992144,-0.600630641,0.855398059,0.537886679,0.561874568,-0.212324336,0.844997287,0.363066971,0.418346882,-0.529576004,0.84618026,0.470391214,0.543926537,-0.010909023,0.999388754,0.393174142,0.54048413,0.010775562,0.999625564,0.474989563,0.735174894,0.031966906,0.98925966,0.375457197,0.722426534,0.048565689,0.991524696,0.470926672,0.90616864,0.231407553,0.989443958,0.372902811,0.898569226,0.245701179,0.989322841,0.458103389,0.929752886,0.236551911,0.903945267,0.390156806,0.926150858,0.25265637,0.912616372,0.490017772,0.970505357,0.063370027,0.981556237,0.341948658,0.96925658,0.085365623,0.98358649
normal,0.437161267,0.153633386,-0.420987219,0.999918938,0.444325447,0.13657406,-0.395981371,0.999705791,0.450091332,0.13736397,-0.395988286,0.999699354,0.455259264,0.138424978,-0.39596051,0.999674618,0.42838338,0.137084499,-0.396600127,0.999757051,0.423134387,0.137960568,-0.396637231,0.999759018,0.418021828,0.138853639,-0.396623671,0.999753475,0.461911231,0.151800305,-0.240573928,0.999422908,0.411054194,0.150038004,-0.245904773,0.99956274,0.449227244,0.175344691,-0.36324209,0.999885738,0.427465856,0.175628394,-0.364916861,0.999883235,0.506760001,0.272697121,-0.146346256,0.99978435,0.3633627,0.272857785,-0.140086979,0.999872208,0.525713742,0.410520047,-0.096394628,0.975754738,0.331220776,0.398547798,-0.219761983,0.949549556,0.541783154,0.532082021,-0.213075191,0.913960099,0.351186961,0.419505566,-0.508927703,0.905245423,0.548305273,0.576857686,-0.255427361,0.858838022,0.363815218,0.435376346,-0.56872046,0.856656253,0.543396413,0.575085521,-0.2994712,0.863790393,0.370521843,0.413719356,-0.594659686,0.86270237,0.536428452,0.562069118,-0.232366994,0.85228622,0.367774665,0.406472534,-0.525628388,0.852731049,0.468068123,0.542692006,-0.010264833,0.99938935,0.390788555,0.540111542,0.010143887,0.999626994,0.475183547,0.734194696,0.027306046,0.989771128,0.371854305,0.722472072,0.045307577,0.9919523,0.469591647,0.907141566,0.209112093,0.989955366,0.369489044,0.901903808,0.226780877,0.989977539,0.456724703,0.931061327,0.213634044,0.907619476,0.387427241,0.928798318,0.233308852,0.916147947,0.490413666,0.970645368,0.039223112,0.982402325,0.341077983,0.971042871,0.065879323,0.984407067
normal,0.42789039,0.156161174,-0.363443732,0.99991405,0.434322745,0.138609931,-0.34321329,0.999700367,0.439241052,0.139056116,-0.343249738,0.999699295,0.44393751,0.139855295,-0.343288541,0.999678671,0.420669883,0.13970381,-0.33799547,0.999737203,0.416338056,0.140680254,-0.338017493,0.99973762,0.411898106,0.141685799,-0.337969124,0.999722719,0.45189327,0.153277785,-0.205615655,0.99945569,0.405971646,0.153687835,-0.183253974,0.999451995,0.439463586,0.178583041,-0.311730802,0.999873936,0.420274049,0.17885302,-0.30561772,0.999836862,0.497465789,0.272448033,-0.146380723,0.999783158,0.362338036,0.276777297,-0.043897741,0.99966079,0.5160743,0.410546064,-0.102691598,0.977295816,0.329956323,0.395249426,-0.191775754,0.938301563,0.530609846,0.535450518,-0.167057708,0.919241607,0.3553572,0.321159184,-0.509253561,0.901310444,0.538581908,0.577955663,-0.190310478,0.864831924,0.367128879,0.290355563,-0.565461814,0.849365473,0.529256165,0.577184796,-0.228977904,0.869478285,0.364727527,0.286907554,-0.568135858,0.853762686,0.523080766,0.564673007,-0.181114182,0.858057916,0.368663371,0.283626556,-0.520719051,0.840647578,0.461379707,0.541134,-0.031400554,0.999330878,0.385674983,0.538966477,0.031309944,0.999551415,0.468321651,0.733325779,-0.012191697,0.990419567,0.36685276,0.7248137,0.059435032,0.99230051,0.468073219,0.907158315,0.162480414,0.990503848,0.36818096,0.905201733,0.234297797,0.990613997,0.45693174,0.931091249,0.165375322,0.909223974,0.385455072,0.930313647,0.239902571,0.920502424,0.489554316,0.970199585,-0.013341608,0.983287573,0.337072998,0.972169816,0.081383862,0.985338271
normal,0.422939003,0.157443032,-0.359686524,0.999916375,0.430828601,0.139457121,-0.338945091,0.999710917,0.435814321,0.139765903,-0.338940233,0.999710798,0.440785438,0.140478492,-0.338936538,0.999691486,0.416456044,0.140844047,-0.333500713,0.99974221,0.412279785,0.141882285,-0.333531082,0.999742389,0.407996565,0.142915502,-0.333478779,0.999726713,0.449757546,0.154331416,-0.200572431,0.99948895,0.402682275,0.1555617,-0.176830262,0.999443948,0.435561031,0.180948392,-0.307630897,0.999871314,0.41535455,0.180709437,-0.301162153,0.999828339,0.494071931,0.272667855,-0.129377112,0.999781907,0.359904855,0.277428955,-0.056888506,0.999624968,0.514895737,0.410615444,-0.084232561,0.978849053,0.325553775,0.394603223,-0.212224424,0.941481531,0.52486676,0.54107511,-0.130286783,0.925104856,0.369815797,0.293732166,-0.512615085,0.90883553,0.531792879,0.58277297,-0.150227264,0.872184992,0.390007079,0.258130759,-0.569853008,0.858880639,0.519926965,0.583177209,-0.186934784,0.876371741,0.393343359,0.24796246,-0.55990392,0.862207532,0.514851809,0.571221948,-0.143299446,0.865278482,0.388177544,0.259827524,-0.517412364,0.847937822,0.456927985,0.541095972,-0.028266422,0.999333858,0.381482065,0.539008021,0.028139474,0.99954623,0.466669172,0.733408272,-0.00177439,0.990909636,0.368468791,0.726845145,0.058049921,0.992744327,0.468215376,0.907271981,0.191775054,0.990899682,0.36958307,0.907027185,0.24171479,0.99122417,0.456575662,0.931250095,0.197544232,0.911791682,0.386108309,0.931614935,0.249380603,0.924161673,0.489610076,0.970224857,0.025106456,0.984018505,0.337861151,0.972962499,0.091105953,0.9862113
normal,0.415660232,0.162391841,-0.389620781,0.999897242,0.423863679,0.142725676,-0.367622524,0.999660134,0.4291614,0.142463192,-0.367627889,0.999672055,0.434369892,0.142638043,-0.367613286,0.999650836,0.410449713,0.144855365,-0.364555836,0.999676943,0.406509846,0.145678788,-0.364599705,0.999682844,0.402573615,0.146399289,-0.364586741,0.999658167,0.445224702,0.156166568,-0.24568525,0.99947238,0.40042308,0.158655003,-0.206458032,0.999204695,0.428074509,0.184779823,-0.335775167,0.999828398,0.409860611,0.184688866,-0.330585957,0.999730289,0.492096901,0.274593264,-0.198141247,0.999738634,0.357426137,0.282521516,-0.075179115,0.999491692,0.506114841,0.418579638,-0.169831574,0.979252517,0.32719934,0.397065699,-0.232443288,0.94046551,0.504002452,0.551186144,-0.17189537,0.925746918,0.368085742,0.278231561,-0.548771322,0.914204359,0.503594935,0.593005776,-0.151659817,0.870203674,0.388765901,0.234231248,-0.607364833,0.86568886,0.494229972,0.594425142,-0.225146532,0.873675764,0.391316444,0.227051929,-0.597220004,0.867861509,0.492061704,0.58061564,-0.162819967,0.861918509,0.38536045,0.241169289,-0.554444671,0.851672947,0.455002218,0.543064773,-0.040559933,0.999258101,0.379621953,0.539982915,0.040367547,0.999500096,0.463761508,0.733444273,-0.005764301,0.991180539,0.364479274,0.728812218,0.086471915,0.993011117,0.468455136,0.907008529,0.18619734,0.991078377,0.368154049,0.906437159,0.260847896,0.991589785,0.45735389,0.931286454,0.192059457,0.910525441,0.384477735,0.931616068,0.266913116,0.926655233,0.488722205,0.969992042,0.01896462,0.984346867,0.336244613,0.973433435,0.123577975,0.986684442
